 X,Y,Z    
-1.3390183E-4,-0.012732655,0.027308464
0.05509287,0.021013886,0.021846771
-0.042325705,-0.022388905,0.01747799
0.028539449,0.021288902,0.02918148
-3.684461E-4,-0.006168872,0.03934574
0.014905244,0.010264903,-0.0077228546
-0.0032757819,-0.0069880784,0.0018224716
-0.010620624,-0.0055904686,0.009457588
0.0075034797,-0.004472375,0.014765739
-0.009997189,-0.0035779178,-0.019387245
2.2351742E-6,-0.0028623343,0.01568985
1.7881393E-6,0.012910128,-0.010647774
1.4305115E-6,0.010328114,0.007481575
1.1622906E-6,0.0010624826,0.013185501
-0.007999063,-0.007150024,-0.020650864
-0.006399244,0.00947997,-5.197525E-4
0.002880603,3.8397312E-4,0.007583618
-0.013695538,-0.0156928,-0.0019321442
0.005043596,-0.012554228,0.021654129
-0.0039651096,0.00595659,-0.0058755875
0.004827887,0.004765272,0.0032987595
-0.004137695,0.0038122237,0.009839058
0.0046898425,-0.012950212,-0.015328407
-0.0042481124,-0.002360195,-0.0042619705
0.0046015084,0.0061118305,0.0045900345
0.011681199,-0.003110528,0.010871887
0.001344949,-0.0024884045,0.0014982224
-0.006924033,-0.0019907057,0.0011987686
-0.013539255,-0.0015925467,-0.007040024
-0.0028313994,0.006725967,-0.005631447
-0.0022651255,-0.0026192367,0.0034942627
-0.0018121004,-0.0020953715,-0.0052042007
-0.0014496744,0.006323695,-0.012163162
0.006840259,-0.010941029,0.021469116
0.005472213,-7.5283647E-4,0.017175674
-0.0036222339,0.0073977113,-0.009458542
0.013102204,-0.0020818412,0.0076322556
0.0024817884,-0.009665459,-0.0010938644
0.0019854307,0.008267611,-8.7451935E-4
-0.006411642,0.013814092,-0.016698837
0.002870679,-0.0041487217,-0.005358696
0.010296524,-0.011318982,0.018912315
2.3722649E-4,-0.0010552108,0.007129669
1.8978119E-4,-8.441508E-4,-0.009495735
0.008151829,-6.753206E-4,4.0340424E-4
0.0065214634,0.00745973,0.007522583
-0.0027828217,0.005967796,-0.02518177
-0.01022625,-0.0032257736,-0.012145042
-1.809895E-4,-0.002580613,-0.0017156601
-1.4480948E-4,0.00593549,-0.0013723373
-1.1584163E-4,0.004748404,-0.0010976791
-0.008092672,-0.01220125,0.053521156
0.11112586,0.076639,-0.011582375
-0.0598993,-0.04108879,0.0059337616
0.06968054,0.038328946,-0.026453018
0.008544445,0.01466316,-0.005162239
-0.040364474,-0.027469486,0.011069298
0.0069084466,-0.2491756,0.00885582
-0.033673286,0.027859539,0.01508522
-0.010938615,0.030287623,-0.042331696
0.0064491034,0.03223008,0.020534515
0.0051592886,0.032984078,0.0012273788
-0.0030725598,0.026387274,0.008181572
-0.026458055,0.0059098303,-0.024654388
-0.013166428,0.012727857,-0.019723892
0.0054668486,0.002182275,2.2125244E-4
-0.011626512,0.00174582,0.008176804
-0.0013011992,0.001396656,0.021741867
-0.0010409653,0.0011173189,-0.0058059692
-8.327663E-4,0.008893847,0.018554688
-6.662309E-4,-8.8492036E-4,-0.008355141
-5.3298473E-4,0.007292062,-0.0066843033
-4.2638183E-4,0.0058336556,0.0026521683
-3.4108758E-4,0.0046669245,0.0021219254
-0.0082728565,-0.0042664707,0.008897781
0.0013817251,0.004586816,0.015118599
0.0011053979,0.0036694407,0.012094498
-0.007115662,0.0029355586,-0.0135240555
0.0023074448,0.0023484528,-0.002820015
-0.0061540306,0.0018787682,-0.0022554398
0.011076748,0.0015030205,-0.009803772
8.614063E-4,-0.006797582,0.0073566437
0.0086891055,-0.0054380596,0.013885498
-0.0090487,-0.04355046,0.17590904
-0.0072389543,0.012359619,0.09352684
0.002208829,0.049087703,-0.2939787
-0.0142329335,-0.04712984,0.20481682
0.0046136677,-0.030503869,0.092653275
0.026890934,0.00759688,0.0037221909
0.021512747,0.006077498,-0.005022049
-0.0059898198,0.0048619807,-0.027216911
-0.012791842,0.011889577,-0.013773918
-0.010233462,0.0015116632,-0.035019875
-1.8677115E-4,0.009209335,-0.02801609
0.007850587,0.007367462,-0.022413254
-0.0017195046,0.013093978,-0.041130066
0.0066244006,-0.0047248304,-0.017704964
0.0052995086,0.004220128,-0.045363426
-0.0037603676,0.0033760965,0.0029087067
-0.0030082762,-0.013299108,0.0023269653
-0.010406613,-0.01063928,0.009861946
-3.2529235E-4,0.0074885488,-0.008111
-2.6023388E-4,0.005990833,-0.0064888
-0.008208185,-0.003207326,-0.0051908493
-0.0065665543,-0.0025658607,-0.01935196
0.025946766,-0.0020526946,0.06291866
-0.2376426,-0.112042144,-0.16966438
-0.11171409,-0.05043371,-0.10453224
-0.010971263,0.006853044,0.010774612
0.140023,0.08388242,0.047819138
-0.03678161,-0.019294053,-9.441376E-4
0.048974723,0.016564757,0.007245064
0.031179786,0.021251798,0.013796806
0.07214382,0.03220147,0.04223728
0.041715086,0.025761187,0.0105896
-0.0058279634,-0.0025910437,0.008471489
0.019337624,0.0059271455,0.0067777634
-0.0085299015,-0.003258258,0.005422592
0.001176089,-0.0026066005,0.0043382645
0.016940862,-0.0020852983,0.0034704208
-0.002447307,-0.0016682446,-0.005223274
0.0060421526,-0.0013345778,0.003821373
0.004833728,-0.0010676682,0.010256767
0.011866987,-8.5413456E-4,0.016205788
0.009493589,0.0073166788,0.0049648285
-4.0510297E-4,0.005853355,-0.011227608
-3.2410026E-4,0.00468269,-9.822845E-4
-2.592802E-4,-0.0042538345,0.0064144135
-2.0742416E-4,-0.0034030676,-0.01006794
-0.06336594,0.09887755,-0.636055
0.09890726,0.07110205,-0.1088438
-0.07847421,-0.1151184,0.3369255
0.023620635,0.03350526,-0.15445995
0.09009653,0.018804222,0.13563251
0.008877218,-0.008956611,0.13170624
-0.05529824,-0.038365304,0.05096531
0.018161416,-0.0066922307,0.055971146
-0.024670899,-0.029353797,0.06877804
-0.019736707,-0.023483038,0.039022446
-0.0077893436,-0.0027864277,0.03921795
0.009768516,-0.0022291243,0.015374184
0.007814825,0.006216705,0.020299911
0.0062518716,0.004973352,-0.0069589615
-0.0109984875,0.0039786696,0.009632111
-0.008798778,0.0031829476,5.0640106E-4
0.008960962,0.00254637,-0.015594482
-0.008831203,0.002037108,0.0035238266
9.3504786E-4,-0.006370306,0.0028190613
7.480383E-4,0.0029037595,0.017455101
0.008598417,-0.005676985,-0.0012359619
-0.0011212528,0.010658413,-9.889603E-4
-0.0088970065,0.0013267398,0.0064086914
8.8238716E-4,-0.0069386065,-0.0020723343
7.059276E-4,-0.005550891,-0.001657486
-0.007435262,0.0035592914,-0.0093250275
0.010051787,-0.0051525533,0.007739067
4.145503E-5,-0.0041220486,0.022192001
0.008033156,0.0047023594,0.009753227
-0.00957346,-0.012238085,-1.9741058E-4
-0.0076587796,0.0062095225,-1.5830994E-4
0.0018729866,0.00496763,-0.007326126
0.0014983714,-0.0040259063,0.017339706
-0.006801307,0.004779279,-0.017327309
-0.052641064,-0.036176562,-0.029862404
-0.073312834,-0.036141247,-0.04709053
0.10614973,0.04148701,0.05592823
